REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
06057;PANTALONA LINHO MAM;SEMANA 42;LINHO 100%;ALTO VERÃO 2026;MAM;FC - AV26 SEM 42 - 13/10;3
02337;VESTIDO CREATIVE;SEMANA;;INVERNO 2021;;;1
04841;BLUSA BOTOES RENOVAR;SEMANA 36;MARRANT PEACH (AT2376);VERÃO 2025;RENOVAR;FC - VER25 SEM 31 - 29/07;9
05381;SHORT SAIA BOTOES RESORT;SEMANA 41;ALFAIATARIA RESORT 3090;VERÃO 2025;RESORT;FC - VER25 SEM 40- 30/09;4
05771;SHORT BOXER GAME;SEMANA 11;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;GAME;FC - INV25 SEM 11 - 10/03;4
05990;BLAZER GUACHE;SEMANA 49;PATOU CHINA AT2302;ALTO VERÃO 2026;GUACHE;FC - AV26 SEM 47 - 17/11;3
01776;BLAZER LINHO;SEMANA;;VERÃO 2020;;;5
03756;BLUSA DUO II;SEMANA 10;FIRENZE;INVERNO 2023;;FC - AV23 SEM02 - 09/01;6
05495;BLUSA DECOTE FRANZIDO SANTORINI;SEMANA 48;LINHO CHINA (AT2314);ALTO VERÃO 2025;SANTORINI;FC - VER25 SEM 48 - 25/11;1
06147;CAMISA WORK BASIC;SEMANA;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;CONTINUO;WORK;FC - VER26 BASIC - 01/07 ;1
02708;BLUSA MODERN;SEMANA;;OFF;;;7
03578;BLUSA DUNAS;SEMANA 48;EST DUNAS - PARISE;VERÃO 2023;;FC - VER24 SEM48 - 27/11 ;1
03617;MACAQUINHO CELEBRATE;SEMANA 51;EST CELEBRATE BASE PARISE;VERÃO 2023;;FC - VER23 SEM51 - 19/12;1
05687;VESTIDO CURTO CAMADA HIBISCO;CANCELADO;MARROCAINE RW80136-1;INVERNO 2025;HIBISCO;;3
06580;CALCINHA DIV 1000;BAZAR;;BAZAR 2024;;;1
00245;BLUSA ARCO-IRIS;SEMANA;;OUTONO/INVERNO 2016;;;1
02425;REGATA ANDROS;SEMANA;;OFF;;;3
00387;CALCA FLARE NEW PB;SEMANA;;VERÃO 2017;;;1
04195;SHORT SAIA SWEET BOLSO ALFAIATARIA;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;20
00514;BLUSA 2/4 PENAS;SEMANA;;OUTONO/INVERNO 2017;;;1
01426;MACACAO TRESSE;SEMANA;;OFF;;;5
02330;TOP SENSE;SEMANA;;INVERNO 2021;;;5
02471;VESTIDO CURTO ORIGEM;SEMANA;;INVERNO 2021;ORIGEM;;1
05423;BLUSA DASH ALCA REMOVIVEL;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;DASH;;1
05988;CALCA CENOURA DETALHE VIVO VILA;SEMANA 27;BROMELIA EST FAM 26 - LEQUES 9B1612;VERÃO 2026;VILA;FC - VER26 SEM 27 - 01/07;1
00389;MACACAO MIDI FREE;SEMANA;;VERÃO 2017;;;3
00530;BLUSA GLITTER;SEMANA;;OUTONO/INVERNO 2017;;;1
01415;SAIA MIDI BABADOS;SEMANA;;INVERNO 2019;;;1
02614;MACACAO LG NICE;SEMANA;;OFF;NICE;;1
02697;TOP FEELING;SEMANA;;OFF;;;6
03183;CROPPED CAJU;SEMANA;;INVERNO 2022;;;7
04547;CALCA FLARE MOSAICO;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;INVERNO 2024;MOSAICO;;1
04847;MACACAO ENCANTAR DETALHE BUSTO;SEMANA 32;LINHO CHINA (AT2314);VERÃO 2025;ENCANTAR;FC - VER25 SEM 33 - 12/08;1
05740;REGATA NEPAL BASIC;SEMANA 34;MAQUINETADO LISBOA;VERÃO 2026;NEPAL;FC - INV25 SEM 18 - 28/04;3
01214;REGATA BOTANICA;SEMANA;;VERÃO 2019;;;3
02034;SHORT ESCAMAS;SEMANA;;INVERNO 2020;;;1
04088;COLETE LINHO CURTO;SEMANA 38;VISCOLINHO STRETCH;VERÃO 2024;DREAM;FC - VER24 SEM38 - 18/09;4
05857;PANTALONA PREGA MOSAIC;SEMANA 35;TECIDO VERMONT CHINA RW55406-1;VERÃO 2026;MOSAIC;FC - VER26 SEM 35 - 25/08;2
06245;BLAZER ALFAIATARIA;SEMANA 21;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;AMARANTO;FC - INV25 SEM 21 - 19/05;3
07080;BLUSA SONGS;SEMANA 47;;ALTO VERÃO 2027;SONGS;;3
01591;REGATA MOVIMENTO;SEMANA;;INVERNO 2019;;;1
04188;VESTIDO CURTO CAMADAS;CANCELADO;MARROCAINE EST ARCOS CHINA (PW80136-6);VERÃO 2024;ARCOS;;1
00476;SAIA TRANSPASSADA MIDI LEQUE;SEMANA;;VERÃO 2017;;;2
03003;SAIA SERENA;SEMANA;;INVERNO 2022;;;2
03921;PANTALONA SPACE;SEMANA 32;MINESSOTA;ALTO VERÃO 2024;SPACE;FC - INV23 SEM18 - 01/05;3
05368;SAIA RENOVAR BOTOES;CANCELADO;MARRANT PEACH (AT2376);VERÃO 2025;RENOVAR;;3
06181;REGATA AFRESCO;SEMANA 49;CREPE SATIN EST AFRESCO;ALTO VERÃO 2026;AFRESCO;FC - AV26 SEM 46 - 10/11;1
00923;SHORT FOLHAGEM;SEMANA;;VERÃO 2018;;;1
01295;SAIA BAILARINA;SEMANA;;VERÃO 2019;;;1
01853;REGATA COOL;SEMANA;;OFF;;;8
06385;CALCA AMARRACAO COFFEE;SEMANA 16;MARROCAINE EST COFFEE PW80136;INVERNO 2026;COFFEE;FC - PECA FOTO - INV27;1
06878;SHORT LISTRAS STRIKE;SEMANA 40;;VERÃO 2027;STRIKE;;1
00461;CROPPED ANJO FLORAL VERDE;SEMANA;;VERÃO 2017;;;1
03392;CALCA CITY;SEMANA;;VERÃO 2023;;;1
04560;VESTIDO CELESTE INFANTIL;SEMANA 17;MARROCAINE ESTAMPA CELESTE;INVERNO 2024;CELESTE;FC - INV24 SEM16 - 15/04;1
01513;MACAQUINHO MANGA LONGA;SEMANA;;INVERNO 2019;;;2
02146;REGATA MILOS;SEMANA;;OFF;MILOS;;1
04799;VESTIDO LONGO GOLA;CANCELADO;PATOU NEW (RW82311);INVERNO 2024;RAVENA;;2
05476;CALCA RETA AMARANTO;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;INVERNO 2025;AMARANTO;;4
06691;CALCA PANTALONA DEEP;CANCELADO;;VERÃO 2027;DEEP;;3
00383;REGATA CHEVRON;SEMANA;;VERÃO 2017;;;2
00447;BODY ML;SEMANA;;VERÃO 2017;;;1
01535;CALCA BOTOES PB;SEMANA;;INVERNO 2019;;;1
02348;VESTIDO DUAL;SEMANA;;INVERNO 2021;;;2
04046;CROPPED DETALHE BUSTO;SEMANA 34;PATOU CHINA AT2302;VERÃO 2024;;;1
00550;VESTIDO TUBINHO;SEMANA;;OUTONO/INVERNO 2017;;;2
02725;CROPPED CHERIE;SEMANA;;VERÃO 2022;;;1
04937;MACACAO LAGUNA DECOTE GOTA;SEMANA 28;LAGUNA CREPE AIR FLOW;VERÃO 2025;LAGUNA;FC - VER25 SEM 35 - 26/08;9
05854;BLUSA CORSET PRINT;SEMANA 31;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2026;PRINT;FC - VER26 SEM 31 - 28/07;15
06595;SAIA PAREO;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;2
01541;PANTACOURT LINHO;SEMANA;;OFF;;;4
02054;BODY RENDA CHIQUE;SEMANA;;VERÃO 2021;;;2
02075;PANTALONA ATENAS;SEMANA;;VERÃO 2021;;;5
02306;VESTIDO RAIZ;SEMANA;;INVERNO 2021;;;1
02362;REGATA TEXTURE;SEMANA;;OFF;TEXTURE;;1
02451;SHORT VERANEIO;SEMANA;;OFF;;;6
04087;SAIA LINHO CURTA;CANCELADO;VISCOLINHO STRETCH;VERÃO 2024;DREAM;;3
04526;VESTIDO VENICE CURTO;CANCELADO;PATOU CHINA AT2302;INVERNO 2024;VENICE;;4
04541;PANTALONA LOLA;CANCELADO;ESTAMPA LOLA;ALTO VERÃO 2024;LOLA;;1
00413;VESTIDO CANELADO;SEMANA;;VERÃO 2017;;;3
01104;REGATA CHEVRON LINHO;SEMANA;;VERÃO 2019;;;1
01395;BLAZER PUNHO POA;SEMANA;;OFF;;;1
03243;BLUSA ALEGRIA;CANCELADO;;VERÃO 2023;;;1
03827;VESTIDO MIDI SOL;SEMANA 20;VISCOLINHO TEMPLES;INVERNO 2023;;FC - INV23 SEM19 - 08/05;3
04496;VESTIDO MIDI ONIX;SEMANA 19;MAQUINETADO (AT2231);INVERNO 2024;ONIX;FC - INV24 SEM25 - 12/06;1
05947;VESTIDO CROPPED ALCA SELARON;SEMANA 49;BORDADO DOURADO FAM 43 AEW100363-14;ALTO VERÃO 2026;SELARON;FC - AV26 SEM 47 - 17/11;1
01980;REGATA BORDADO;SEMANA;;OFF;;;3
03909;CALCA ELECTRO;SEMANA 22;EST ELECTRO BASE CHALLIS FLORENCE;INVERNO 2023;ELECTRO;FC - INV23 SEM24 - 12/06;1
04454;SHORT SAIA JOLIE AMARRACAO;SEMANA 07;VISCOSE TWILL;INVERNO 2024;JOLIE;FC - AV24 SEM02 - 02/01;12
04932;MACACAO ANOITECER;SEMANA 23;BILBAO ESTAMPA ANOITECER;INVERNO 2024;ANOITECER;FC - INV24 SEM23 - 03/06;1
06182;VESTIDO CURTO AFRESCO;CANCELADO;;ALTO VERÃO 2026;AFRESCO;;1
07128;CAMISA VIBRANTE;SEMANA 47;;ALTO VERÃO 2027;VIBRANT;;3
00848;SHORT LACO FREE;SEMANA;;VERÃO 2018;;;3
04225;SHORT LA VIE;SEMANA 45;PARISE EST LA VIE H9868/EA0004;ALTO VERÃO 2024;LA VIE;FC - VER24 SEM46 - 13/11;2
06045;VESTIDO CURTO HIBISCO;SEMANA 21;MARROCAINE RW80136-1;INVERNO 2025;HIBISCO;FC - INV25 SEM 21 - 19/05;3
02868;CROPPED LUNE;SEMANA;;OFF;;;6
05403;VESTIDO MIDI SAVANA;SEMANA 07;MAQUINETADO LISBOA EST SAVANA;INVERNO 2025;SAVANA;FC - VER25 SEM 49 - 02/12;2
05421;VESTIDO MIDI GRID;SEMANA 18;MARROCAINE  EST GRID AT-2080;INVERNO 2025;GRID;FC - INV25 SEM 18 - 28/04;1
06388;MACAQUINHO CURTO NARA;SEMANA 45;BROMELIA GLOW NARA 00S328;ALTO VERÃO 2026;NARA;FC - AV26 SEM 45 - 03/11;1
06399;MACACAO LONGO RAFFINATO;SEMANA 18;MARROCAINE EST ANIMAL PRINT PW80136;INVERNO 2026;RAFFINATO;FC - INV26 SEM 18 - 27/04;1
06568;REGATA JUJU;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;1
00950;MACACAO GEO MINI;SEMANA;;VERÃO 2018;;;1
01159;MACACAO MIDI LITORAL;SEMANA;;VERÃO 2019;;;1
01367;BODY COBRA;SEMANA;;VERÃO 2019;;;1
01412;MACACAO FLORAL OURO;SEMANA;;INVERNO 2019;;;1
03060;SHORT CIRANDA;SEMANA;;INVERNO 2022;;;2
04128;CALCAS AMARRACAO DIV 5000;BAZAR;;BAZAR 2023;;;1
06301;BLUSA CREMA;SEMANA 10;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;INVERNO 2026;CREMA;FC - INV26 SEM 10 - 02/03;4
06361;MACACAO ESSENCE;SEMANA 34;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2027;ESSENCE;FC - VER27 SEM 34 - 17/08;2
06727;VESTIDO CROPPED LUST;SEMANA 32;LINHO 100%;VERÃO 2027;LUST;FC - VER27 SEM 32 - 03/08;3
01410;CROPPED TRICOT;SEMANA;;OFF;;;1
01423;REGATA CHEVRON FLORAL OURO;SEMANA;;OFF;;;1
01534;MACACAO DUO;SEMANA;;INVERNO 2019;;;2
01964;CROPPED LINHO SANTORINI;SEMANA;;OFF;;;5
04813;CALCA FLARE SUNNY;SEMANA 32;ATACAMA POLY SPAN;VERÃO 2025;SUNNY;;9
05517;PANTALONA CARGO NEW ATMOSFERA;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;ATMOSFERA;;4
01352;MACACAO MIDI POA;SEMANA;;VERÃO 2019;;;1
06283;CALCA PANTALONA CAFFEINE;SEMANA 05;MAQUINETADO LISBOA EST CAFFEINE;INVERNO 2026;CAFFEINE;FC - INV26 SEM 05 - 26/01;1
00861;VESTIDO ENVELOPE UNIVERSO;SEMANA;;VERÃO 2018;;;1
05844;CAMISA BOLSO IPANEMA;SEMANA 27;LINHO CHINA (AT2314);VERÃO 2026;IPANEMA;FC - VER26 SEM 27 - 01/07;3
06296;PANTALONA BRULEE;SEMANA 10;PATOU CHINA AT2302;INVERNO 2026;BRULEE;FC - INV26 SEM 10 - 02/03;7
01272;MACACAO MIDI TERRARIO;SEMANA;;VERÃO 2019;;;4
02605;REGATA SERENA;SEMANA;;VERÃO 2022;;;1
02628;PANTALONA EQUILIBRIO;SEMANA;;VERÃO 2022;;;5
03601;BLAZER SUMMER;CANCELADO;;ALTO VERÃO 2023;;;1
03690;CALCA AMARRACAO SELF;SEMANA 04;INATIVO;ALTO VERÃO 2023;;FC - AV23 SEM01 - 02/01;5
04848;CALCA CENOURA PREGAS ENCANTAR;SEMANA 32;LINHO CHINA (AT2314);VERÃO 2025;ENCANTAR;FC - VER25 SEM 33 - 12/08;9
04946;CALCA CENOURA AROMA;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2025;AROMA;;5
05428;SHORT SAIA DASH;CANCELADO;ETIQUETA PERSONALIZADA LIZIE;INVERNO 2025;DASH;;1
06596;CALCA PANTALONA;SEMANA;TECIDO DIVERSOS BAZAR;BAZAR FABRICA;;;1
06995;BLUSA GALA;SEMANA 45;;ALTO VERÃO 2027;GALA;;1
00880;CROPPED MANGAS BOTOES;SEMANA;;OFF;;;1
01839;SHORT BOTOES;SEMANA;;OFF;;;2
01459;BLUSA COOL LOSANGO;SEMANA;;INVERNO 2019;;;1
01985;CROPPED POA ZEN;SEMANA;;INVERNO 2020;;;1
02100;VESTIDO MIDI FLUID;SEMANA;;OFF;;;5
04196;PANTALONA SWEET FLARE;SEMANA 46;ATACAMA CHINA (AT-1909);ALTO VERÃO 2024;SWEET;FC - VER24 SEM45 - 06/11;20
04721;BLAZER AURA BASIC;SEMANA 18;TECIDO VERMONT CHINA RW55406-1;INVERNO 2024;AURA;FC - INV24 SEM 18- 29/04;9
00919;REGATA RETRO;SEMANA;;VERÃO 2018;;;1
02366;CALCA TEXTURE;SEMANA;;OFF;TEXTURE;;1
02554;SHORT SOFT;SEMANA;;OFF;;;7
05559;JAQUETA ALFAIATARIA WOOD;CANCELADO;;INVERNO 2025;WOOD;;3
06109;MACACAO LONGO GRAVURA;CANCELADO;MARROCAINE EST PW80136;ALTO VERÃO 2026;GRAVURA;;1
06743;SHORT WAVE;CANCELADO;FITA DE CETIM PERSONALIZADA;VERÃO 2027;WAVE;;1
04835;CAMISA BORDADA MANGA BUFANTE;SEMANA 18;ETIQUETA COLLECTION;INVERNO 2024;CHATON;;2
06391;SAIA CROPPED FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - INV26 SEM 16 - 13/04;2
06848;REGATA ALCAS FLASH;SEMANA 28;MARROCAINE EST FLASH PW80136-31;VERÃO 2027;FLASH;FC - VER27 SEM 28 - 06/07;1
01643;SHORT LA BELLE;SEMANA;;VERÃO 2020;;;1
03281;BLAZER CROP MORENA;SEMANA;ATACAMA POLY SPAN;VERÃO 2023;;;8
03996;VESTIDO ALGODAO BORDADO LONGO;SEMANA 35;BORDADO VINTTAGE CHINA;VERÃO 2024;VINTAGE;FC - VER24 SEM32 - 07/08;4
06394;CAMISA BOTOES FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - PECA FOTO - INV27;2
06411;SHORT CAPPUCCINO;CANCELADO;;INVERNO 2026;CAPPUCCINO;;2
06710;CALCA PANTALONA COMPASS;SEMANA 36;VISCOSE ESSENCIAL ARW800098;VERÃO 2027;COMPASS;FC - VER27 SEM 36 - 01/09;3
00003;BLUSA BABADO MANGA;SEMANA;;OFF;;;3
01362;BLUSA COOL POA;SEMANA;;OFF;;;2
03297;CROPPED RIOS;SEMANA;;VERÃO 2023;RIOS;;1
04165;VESTIDO LONGO AMERICA;SEMANA;;OUTONO/INVERNO 2016;;;0
04270;PANTALONA ENCANTO;SEMANA 07;ATACAMA POLY SPAN;INVERNO 2024;ENCANTO;;3
04982;SHORT DELICADEZA ALFAIATARIA;SEMANA 42;TRICOLINE SILKY ESTAMPA DELICADEZA;VERÃO 2025;DELICADEZA;FC - VER25 SEM 42 - 14/10;1
00669;CROPPED LISTRA COLOR;SEMANA;;OUTONO/INVERNO 2017;;;1
02715;VESTIDO CURTO URCA;SEMANA;;OFF;;;5
01522;CALCA FLARE GRID;SEMANA;;INVERNO 2019;;;1
04456;CAMISA IRIS AMARRACAO;CANCELADO;ESTAMPA IRIS;ALTO VERÃO 2024;IRIS;;1
01847;HOT PANTS VENEZA;SEMANA;;OFF;;;3
01981;VESTIDO TASSEL;SEMANA;;OFF;;;4
02347;MACACAO LG ESSENCIA;SEMANA;;INVERNO 2021;;;1
02958;CROPPED LUAR;SEMANA;;OFF;;;4
05420;MACACAO GRID MANGA BUFANTE;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;INVERNO 2025;GRID;;1
05746;BLAZER BLANC BASIC;SEMANA 14;TECIDO VERMONT CHINA RW55406-1;INVERNO 2025;BLANC;FC - INV25 SEM 14 - 31/03;2
06328;BLUSA FRANJAS ETNIA;CANCELADO;MARROCAINE RW80136-1;ALTO VERÃO 2026;ETNIA;FC - AV26 SEM 44 - 27/10;1
02158;CROPPED ACROPOLE;SEMANA;;VERÃO 2021;;;1
03334;BLUSA MELODIA;SEMANA;;VERÃO 2023;MELODIA;;1
04192;MACACAO PRIMA / CALÇA AMARRAÇAO - 8000;BAZAR;;BAZAR 2023;;;1
00676;SAIA TRANSP SEDA PINCEL;SEMANA;;OUTONO/INVERNO 2017;;;1
05781;VESTIDO LONGO HIBISCO ENTREMEIO;SEMANA 21;MARROCAINE RW80136-1;INVERNO 2025;HIBISCO;FC - INV25 SEM 21 - 19/05;1
05811;CALCA LISTRA LATERAL GAME;SEMANA 11;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;GAME;FC - INV25 SEM 11 - 10/03;2
05877;SAIA CURTA CULTURAL;SEMANA 39;ALFAIATARIA SOHO (RW54958);VERÃO 2026;CULTURAL;FC - VER26 SEM 39 - 22/09;2
00368;VESTIDO LONGO PAISLEY;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
02896;CROPPED NEUTRO;SEMANA;;INVERNO 2022;;;6
03908;MACACAO ELECTRO;SEMANA 22;EST ELECTRO BASE CHALLIS FLORENCE;INVERNO 2023;ELECTRO;FC - INV23 SEM24 - 12/06;1
05518;JAQUETA BOLSOS ATMOSFERA;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;ATMOSFERA;;4
01413;BLUSA COOL RAJADO OURO;SEMANA;;INVERNO 2019;;;1
02788;TOP MONET;SEMANA;;VERÃO 2022;;;1
04260;VESTIDO VIVER AMPLO;SEMANA 40;VISCOSE SARJADA SINERGY;VERÃO 2024;VIVER;FC - VER24 SEM44 - 30/10;9
00330;REGATA LIBERTY;SEMANA;;OFF;;;28
00868;SAIA ENVELOPE POA MINI;SEMANA;;VERÃO 2018;;;1
01937;CARDIGAN LAPELA;SEMANA;;OFF;;;5
02247;BLUSA CONCEPT;SEMANA;;OFF;;;7
02305;KIMONO SENSE;SEMANA;;INVERNO 2021;;;1
02696;CROPPED FEELING;SEMANA;;OFF;;;7
05337;CROPPED PESPONTADO VANILA;CANCELADO;TECIDO VERMONT CHINA RW55406-1;VERÃO 2025;VANILA;;3
05855;BLUSA BASIC MOSAIC;SEMANA 35;TECIDO VERMONT CHINA RW55406-1;VERÃO 2026;MOSAIC;FC - VER26 SEM 35 - 25/08;2
01801;KIMONO FLORAL;SEMANA;;VERÃO 2020;;;1
03732;CALCA IKAT;SEMANA 15;EST IKAT BASE BROMELIA;INVERNO 2023;IKAT;FC - INV23 SEM15 - 10/04;1
04704;BLUSA SEMEAR DECOTE CANOA;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2024;SEMEAR;;3
03447;PANTALONA NEW;SEMANA;;INVERNO 2022;;;1
04051;TOP FREE;SEMANA;;INVERNO 2023;;;7
00913;REGATA POA VERDE;SEMANA;;VERÃO 2018;;;1
00921;MACACAO MIDI POA VERDE;SEMANA;;VERÃO 2018;;;1
01947;CALCA FLARE LISTRA INDIGO;SEMANA;;OFF;LISTRA INDIGO;;1
02810;BLAZER MONET;SEMANA;;VERÃO 2022;;;3
03761;MACACAO PRISMA;SEMANA 11;ALFAIATARIA SOHO;INVERNO 2023;;FC - INV23 SEM10 - 06/03;11
04417;SAIA ORLY BABADOS;SEMANA 50;BROMELIA ESTAMPA ORLY;ALTO VERÃO 2024;ORLY;FC - VER24 SEM50 - 11/12;1
04850;BLUSA ALCA TRANCA;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;;;3
04939;CROPPED SUBLIME NERVURAS;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);VERÃO 2025;SUBLIME;;3
05320;CALCA JOGGER LOVELY;CANCELADO;PARISE ESTAMPA LOVELY;ALTO VERÃO 2025;LOVELY;;1
05630;SAIA MIDI COTTON;SEMANA 44;COTTON NYLON TOUCH;VERÃO 2025;COTTON;FC - VER25 SEM 42 - 14/10;6
01298;MACACAO MIRANTE;SEMANA;;OFF;;;2
01777;SHORT LINHO;SEMANA;;OFF;;;5
05741;VESTIDO LONGO CAMADAS MOUNTAIN;SEMANA 21;PATOU CHINA AT2302;INVERNO 2025;MOUNTAIN;FC - INV25 SEM 21 - 19/05;2
06753;BLUSA SATIN SERPENTINE;SEMANA 34;TAG PAPEL COLLECTION;VERÃO 2027;SERPENTINE;;2
01416;CROPPED TRANSPASSADO;SEMANA;;OFF;;;1
02133;VESTIDO MIDI TULIPA VERMELHO;SEMANA;;VERÃO 2021;;;1
03702;SAIA PAREO VITRAL;SEMANA 04;EST VITRAL BASE BROMELIA;ALTO VERÃO 2023;;FC - AV23 SEM03 - 13/03;1
03917;CAMISA LUNAR;SEMANA 23;LINHO WASHED PLUS P11LN0026;INVERNO 2023;;FC - INV23 SEM23 - 05/06;3
04162;VESTIDO LONGO DUO;SEMANA;;OUTONO/INVERNO 2016;;;0
04586;BLAZER WISH ALONGADO;SEMANA 19;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2024;WISH;FC - INV24 SEM19 - 04/05;9
05390;MACAQUINHO LINHO COM CINTO;SEMANA 44;LINHO SPANDEX;ALTO VERÃO 2025;SUNSHINE;FC - VER25 SEM 40- 30/09;9
06023;MACAQUINHO TELA BOTOES;SEMANA 41;ESTAMPADO LOSANGO PW30701;ALTO VERÃO 2026;TELA;FC - VER26 SEM 41 - 06/10;1
05626;VESTIDO MIDI PREGAS;SEMANA 15;TRICOLINE COM ELASTANO P11NM0041;CONTINUO;COTTON;FC - INV25 SEM 11 - 10/03;11
00619;MACACAO PRETO FAIXAS;SEMANA;;OUTONO/INVERNO 2017;;;1
02793;VESTIDO CURTO ROSE;SEMANA;;VERÃO 2022;;;1
05731;CAMISA OVERSIZED CHAMONIX;CANCELADO;;INVERNO 2025;CHAMONIX;;2
01697;BLUSA PETALAS;SEMANA;;VERÃO 2020;;;1
01726;PANTALONA ILHABELA;SEMANA;;OFF;ILHABELA;;1
04318;PANTALONA SAUER ALFAIATARIA;CANCELADO;PATOU CHINA AT2302;ALTO VERÃO 2024;SAUER;;3
05007;VESTIDO LONGO DETALHE DECOTE FLORA;SEMANA 41;PATOU NEW (RW82311);ALTO VERÃO 2025;FLORA;FC - VER25 SEM 48 - 25/11;9
06058;CROPPED LINHO MAM;SEMANA 42;LINHO 100%;ALTO VERÃO 2026;MAM;FC - AV26 SEM 42 - 13/10;3
02284;CAMISA ATEMPORAL;SEMANA;;VERÃO 2021;;;3
03372;CROPPED LIFE;SEMANA 25;INATIVO;INVERNO 2023;;FC - VER23 SEM42 - 20/10;5
04950;BLUSA INSPIRAR ALONGADA;SEMANA 46;LINHO CHINA (AT2314);ALTO VERÃO 2025;INSPIRAR;FC - VER25 SEM 46 - 11/11;12
05836;CALCA FLARE OFICINA;SEMANA 27;SARJA COLOR  RW13587;VERÃO 2026;OFICINA;FC - VER26 SEM 27 - 01/07;3
06390;CALCA PANTALONA FLORIAN;SEMANA 16;BORDADO FAM FLORIAN AEW100560-01;INVERNO 2026;FLORIAN;FC - INV26 SEM 16 - 13/04;2
06741;BLUSA WAVE;CANCELADO;TAG PAPEL COLLECTION;VERÃO 2027;WAVE;;1
00515;MACACAO MIDI CRUZADO PENAS;SEMANA;;OUTONO/INVERNO 2017;;;1
05534;BLUSA CANELA DETALHE BOTOES;SEMANA 18;ALGODAO BORDADO CANELA;INVERNO 2025;CANELA;FC - INV25 SEM 18 - 28/04;1
06161;MACAQUINHO CRAYON;SEMANA 50;VISCOSE ESSENCIAL ARW800098;ALTO VERÃO 2026;CRAYON;FC - AV26 SEM 45 - 03/11;4
00576;BLUSA BABADO MANGA BARRADA;SEMANA;;OUTONO/INVERNO 2017;;;1
01446;PARKA WINDY;SEMANA;;INVERNO 2019;;;3
02336;MACACAO MD ORIGEM;SEMANA;;INVERNO 2021;;;1
04307;MACACAO ALEGRIA OMBRO A OMBRO;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2024;ALEGRIA;;2
04478;BLAZER ESMERALDA ALONGADO;SEMANA 14;ALFAIATARIA MARRANT EST ESMERALDA AT2080;INVERNO 2024;ESMERALDA;FC - INV24 SEM11 - 11/03;1
04703;PANTALONA CELEBRAR COS ELASTICO;SEMANA 28;HEAVY TWILL AIRJET;INVERNO 2024;CELEBRAR;FC - INV24 SEM23 - 03/06;9
05441;SAIA CURTA NEW RISCA;CANCELADO;MARRANT EST NEW RISCA AT 2336;INVERNO 2025;NEW RISCA;;2
06056;VESTIDO CURTO DINKY;SEMANA 42;TRICOLINE 100% ALGODAO FIO 40 P11NM0043;ALTO VERÃO 2026;DINKY;FC - AV26 SEM 42 - 13/10;4
06317;PANTALONA SYNC;SEMANA 28;LINHO CHINA (AT2314);VERÃO 2027;SYNC;FC - VER27 SEM 28 - 06/07;2
00484;REGATA DEBRUM BEGE/PRETA;SEMANA;;VERÃO 2017;;;1
01030;BLUSA 2/4;SEMANA;;OFF;;;4
01189;KIMONO MAXI POA;SEMANA;;VERÃO 2019;;;2
02944;REGATA VIBRANTE;SEMANA;;OFF;VIBRANTE;;1
03311;JAQUETA CROPPED URBAN;SEMANA 37;;VERÃO 2023;;;12
04137;MACACAO LONGO ASTRAL;SEMANA;;OUTONO/INVERNO 2016;;;0
05647;CALCA IRISH DETALHE RETILINEA;SEMANA 10;GGT EST IRISH;INVERNO 2026;IRISH;FC - INV26 SEM 10 - 02/03;1
06436;MINI SAIA TWEED BOURBON;CANCELADO;;INVERNO 2026;BOURBON;;1
07105;REGATA VIBE CAMADA;SEMANA 49;;ALTO VERÃO 2027;VIBE;;3
00463;VESTIDO BASICO GARDENIA;SEMANA;;VERÃO 2017;;;1
00845;VESTIDO TRICOLOR 2;SEMANA;;VERÃO 2018;;;2
